ID,Name,Price,Country,City,Year
45,Byrd LLC - Miso Soup,17,Fiji,Reynoldsfort,2006
46,Daniel-Lewis - Ramen Bowl,43,Tunisia,West Vincentchester,1994
47,Lam PLC - Pho Noodle Soup,17,Ghana,Lorimouth,1997
48,Hall Group - Banh Mi Sandwich,72,Korea,Scottfurt,2012
49,"Wagner, Green and Smith - Pork Dumplings",72,Saint Vincent and the Grenadines,South Josephbury,2020
50,"Goodwin, Klein and Snyder - Beef Tacos",82,Philippines,West Jonathan,2008
51,Reynolds PLC - Chicken Enchiladas,38,Sweden,South Joshua,1999
52,Chaney-Camacho - Quesadilla,69,Honduras,Carterburgh,2015
53,Cruz Group - Nachos Supreme,58,Gambia,Watersside,2020
54,"Wise, Barrett and Hamilton - Guacamole Dip",72,French Polynesia,West Katelynbury,2009
55,Mcmahon-Hill - Cheese Queso,21,Bolivia,Walshstad,2018
56,Luna-Rogers - Stuffed Peppers,91,Malaysia,East Darren,1994
57,"James, Meza and Greene - Meatloaf Slice",87,Congo,Christopherstad,2003
58,Hunt Group - Sloppy Joe,67,Montenegro,Port Justinburgh,2023
59,Willis Inc - Hot Dog,63,Comoros,South Tracyport,2016
60,Salazar-Bryant - Cheeseburger,15,Montserrat,Joshuaborough,1995
61,James-Sanchez - BBQ Ribs,89,Djibouti,Stewartborough,2022
62,Lee-Taylor - Grilled Salmon,92,Czech Republic,West Douglas,2015
63,Hudson-Merritt - Shrimp Scampi,40,Isle of Man,Ginaside,1999
64,Wilkinson and Sons - Lobster Bisque,42,Belize,Richardsside,2004
65,"Hughes, Wilson and Webb - Crab Cakes",55,Cambodia,Port Brianbury,2012
66,"Orr, Mcmahon and Mcdonald - Fish and Chips",76,El Salvador,Torresmouth,2003
67,Baker Ltd - Steak Fajitas,72,United States Virgin Islands,Pamelaville,2009
68,"Callahan, Kirk and Mccormick - Chicken Alfredo",98,Guyana,North Lukeville,1992
69,Peterson Ltd - Pasta Primavera,94,Ireland,North Laurahaven,1992
70,"Mcdaniel, Ramos and Ramos - Spinach Lasagna",39,Bahamas,East Tiffany,1993
71,Mathis Ltd - Eggplant Parmesan,87,Venezuela,Lake Danielhaven,2015
72,Knight-Dominguez - Stuffed Shells,84,Taiwan,Lake Kathleen,1996
73,"Harvey, Hall and Ritter - Fettuccine Carbonara",69,French Southern Territories,Port Daniellehaven,2014
74,"Gomez, Rodriguez and Cline - Tortellini Pesto",17,Tanzania,West Charlesview,1991
75,Howard and Sons - Pizza Margherita,23,Moldova,North Carlos,2023
76,Roberts-Young - Pepperoni Pizza,11,Fiji,Port Paula,2015
77,Calhoun-Brown - Hawaiian Pizza,72,Chile,Woodwardbury,2000
78,"Cortez, Mcdonald and George - Buffalo Chicken Pizza",68,French Guiana,South Caitlin,2004
79,Bright Inc - Veggie Pizza,80,Saint Martin,Georgeborough,1993
80,Mendoza-Romero - Breakfast Burrito,61,British Virgin Islands,Port Cynthialand,2002
81,"Hill, Gaines and Moore - Omelette",42,Georgia,Port Larry,2008
82,"Hill, Hughes and Klein - Scrambled Eggs",19,Jordan,Samuelland,1999
83,Vega and Sons - Pancake Stack,68,Costa Rica,South Katherineshire,2014
84,"Rodriguez, Johnson and Ochoa - Waffle Delight",98,Greenland,Johnnyland,2003
85,"Burnett, Brooks and Nelson - Hash Browns",60,Svalbard & Jan Mayen Islands,Williamsbury,1990
86,Simpson Ltd - Granola Parfait,100,Cook Islands,New Emilyshire,2020
87,Carr Inc - Fruit Salad,84,Sri Lanka,East Brandon,2020
88,Cooper Ltd - Yogurt Bowl,74,Namibia,East Michael,2021
89,Mooney Ltd - Smoothie,54,Burkina Faso,Bonniechester,2020
90,"Rodriguez, Simmons and Gardner - Protein Shake",21,United States Minor Outlying Islands,West Stephanie,1996
91,Anthony PLC - Ice Cream Cone,56,Vanuatu,Tylermouth,1998
92,Gutierrez and Sons - Sundae,65,Norfolk Island,Jeanettehaven,1995
93,Edwards-Allen - Milkshake,52,Hungary,North Ashleystad,1992
94,Wilson-Williams - Custard Tart,59,Italy,Gomezmouth,1992
95,"Gomez, Jones and Berger - Brownie",90,Russian Federation,East Christianbury,1996
96,Terry-Hernandez - Chocolate Cake,100,Mali,Jonesside,2011
97,Grimes-Nunez - Carrot Cake,37,Iraq,Kathleenmouth,1996
98,Ferguson-Garza - Lemon Tart,68,Vanuatu,Mariotown,2024
99,Bradford-Valdez - Pecan Pie,24,Slovakia (Slovak Republic),West Tammychester,1998
100,"Floyd, Barron and Ward - Donut",47,Ghana,Jenniferside,1994
101,Raymond-Mooney - Cinnamon Roll,42,Peru,South Yvonne,2005
102,Thomas-Holmes - Bread Pudding,43,New Caledonia,East Brianhaven,2022
103,Scott-Espinoza - Rice Pudding,13,Burundi,Lake Nichole,2021
104,Watts PLC - Apple Crumble,45,New Zealand,West Elizabethberg,1993
105,Munoz-Harris - Strawberry Shortcake,98,Czech Republic,Port Matthewchester,1998
106,"Ross, Bryant and Shepard - Black Forest Cake",84,Albania,East Lisa,1993
107,Taylor-Welch - Tiramisu,53,Fiji,West Chrismouth,2003
108,Weaver-Mason - Cheesecake,70,Yemen,Stephanieborough,1999
109,Lynch-Johns - Baklava,77,Latvia,North Zacharyview,2019
110,"Bailey, Ayala and Caldwell - Macaron",79,Jamaica,Warrenview,2011
111,Gray-Howell - Creme Brulee,72,Equatorial Guinea,New Lynntown,1994
112,"Williams, Arias and Garcia - Fruit Tart",11,Maldives,North James,1999
113,"Lin, Ball and Vincent - Eclair",45,Senegal,Williamsmouth,2017
114,Cameron-Allen - Cannoli,74,Montserrat,Port Cristian,1997
115,"Meadows, Martinez and Jenkins - Churros",95,Botswana,South Hunterborough,1990
116,Smith-Valencia - Gulab Jamun,63,Bolivia,Marcusview,2003
117,Hood and Sons - Rasgulla,25,Isle of Man,Jamesborough,2024
118,Maxwell and Sons - Jalebi,45,Saint Martin,Devonburgh,2008
119,Flores-Martin - Kulfi,74,Korea,Hurstside,2012
120,Kane and Sons - Barfi,75,Moldova,West Robertside,2012
121,Hanson Ltd - Halwa,85,French Guiana,Port Michaelland,2020
122,"Jones, Shepherd and Ruiz - Besan Ladoo",39,Malawi,South Michelle,2020
123,Lopez-Adams - Kheer,78,Afghanistan,Lake Roberthaven,2023
124,"Zamora, James and Miller - Sheer Khurma",77,Montserrat,New Kaitlin,1995
125,Woodard Inc - Boondi,68,Kazakhstan,West Christinamouth,2021
126,"Clark, Freeman and Cantu - Nankhatai",99,Guinea-Bissau,West Codyland,2001
127,Grant LLC - Peda,72,China,Sarahton,2011
128,Johnson-Young - Dry Fruit Roll,19,Cyprus,Lucasburgh,2006
129,Logan-Hines - Coconut Ladoo,48,Senegal,Knighthaven,1997
130,"Lozano, Merritt and Ruiz - Chocolate Bar",71,Tonga,New Kevin,1994
131,Martinez Group - Trail Mix,36,Afghanistan,Kristamouth,2017
132,Barton-Johnson - Nutty Granola,93,Palau,West Carl,1993
133,Washington-Martinez - Peanut Butter Cookie,62,Kazakhstan,North Aprilbury,2020
134,Knapp-Hill - Oatmeal Cookie,44,Reunion,Dennisborough,1996
135,"Stone, Perkins and Rojas - Gingerbread",99,Liberia,West Janiceport,2008
136,"Burnett, Jones and Garcia - Popcorn",30,Lesotho,Port Andreaview,1994
137,Mcknight-Hodges - Pretzel,35,Norway,Zamorafurt,2022
138,Higgins and Sons - Crackers,97,Bahrain,North Stephen,2005
139,"Yates, Stafford and Snow - Cheddar Bites",88,Belgium,Mendezbury,2019
140,Powell-Esparza - Nacho Chips,62,Guadeloupe,South Brendaburgh,2005
